href	infobox
Modula-2+	True
Modula-3	True
Moose_(Perl)	True
NEWP	True
NS_Basic	True
Natural_language_programming	True
NekoVM	True
Nemerle	True
NetLogo	True
NetRexx	True
Newspeak_(programming_language)	True
Newsqueak	True
NewtonScript	True
Nial	True
Nim_(programming_language)	True
Nineteen_Eighty-Four	True
Nu_(programming_language)	True
NumPy	True
OCaml	True
OPS5	True
Oaklisp	True
Oberon-2	True
Oberon_(programming_language)	True
ObjVlisp	True
Object_Oberon	True
Object_Pascal	True
Object_REXX	True
Objective-C	True
Objective-J	True
Occam_(programming_language)	True
Opa_(programming_language)	True
OpenLisp	True
OpenVera	True
Orwell_(programming_language)	True
Oxygene_(programming_language)	True
Oz_(programming_language)	True
PACT_I	True
PDF	True
PHP	True
PL-6	True
PL/0	True
PL/8	True
PL/I	True
PL/M	True
PL/SQL	True
PL/pgSQL	True
PLEX_(programming_language)	True
POP-11	True
POP-2	True
PSB-Prolog	True
ParaSail_(programming_language)	True
Pascal_(programming_language)	True
Perl	True
Pike_(programming_language)	True
Pizza_(programming_language)	True
Plankalkül	True
Planner_(programming_language)	True
Polymorphic_Programming_Language	True
Polyphonic_C_Sharp	True
Pony_(programming_language)	True
PostScript	True
PowerShell	True
Processing	True
Profile_Scripting_Language	True
Programming_Language_for_Business	True
Progress_Chef	True
Project_Jupyter	True
Project_Verona	True
Prolog	True
Puppet_(software)	True
PureScript	True
Pure_Data	True
Pyomo	True
Python_(programming_language)	True
QB64	True
QBasic	True
QML	True
Q_(programming_language_from_Kx_Systems)	True
Qore_(programming_language)	True
Qt_(software)	True
QuickBASIC	True
RPL_(programming_language)	True
R_(programming_language)	True
Racket_(programming_language)	True
Raku_(programming_language)	True
Ratfor	True
Rebol	True
Red_(programming_language)	True
Redux_(JavaScript_library)	True
Reverse_Polish_Notation	True
Rexx	True
Ring_(programming_language)	True
Ruby_(programming_language)	True
Rust_(programming_language)	True
S3_(programming_language)	True
SAC_programming_language	True
SASL_(programming_language)	True
SB-Prolog	True
SETL	True
SETLX	True
SISAL	True
SNOBOL	True
SP/k	True
SPARK_(programming_language)	True
SPARQL	True
SQL	True
SQL/PSM	True
SUPER_BASIC	True
SYMPL	True
S_(programming_language)	True
Sather	True
Scala_(programming_language)	True
Scheme_(programming_language)	True
Schoonschip	True
Scilab	True
ScratchJr	True
Scratch_(programming_language)	True
Sed	True
Seed7	True
Self_(programming_language)	True
Semi-Automatic_Ground_Environment	True
SenseTalk	True
Simple_theory_of_types	True
Simscript	True
Simula	True
Sketchpad	True
SmallBASIC	True
Smalltalk	True
Snap!_(programming_language)	True
Speakeasy_(computational_environment)	True
Speedcoding	True
Squeak	True
Squirrel_(programming_language)	True
Stackless_Python	True
Standard_ML	True
StarLogo	True
Steelman_language_requirements	True
Strand_(programming_language)	True
Strongtalk	True
Structured_text	True
SuperCollider	True
SuperTalk	True
Superplan	True
Swift_(programming_language)	True
Symbolic_Manipulation_Program	True
SystemVerilog	True
TELCOMP	True
TMG_(language)	True
TOM_(object-oriented_programming_language)	True
T_(programming_language)	True
Tcl	True
Tea_(programming_language)	True
Tk_(software)	True
Trith_(programming_language)	True
Turing_(programming_language)	True
Turtlestitch	True
TypeScript	True
UCSD_Pascal	True
UNICODE_(programming_language)	True
Unix_shell	True
VHDL	True
Vala_(programming_language)	True
Verilog	True
Vilnius_BASIC	True
Visual_Basic	True
Visual_Basic_(classic)	True
Visual_Basic_.NET	True
Visual_J++	True
Visual_J_Sharp	True
Visual_Prolog	True
Vue.js	True
WebAssembly	True
Whiley_(programming_language)	True
Wikipedia:Citation_needed	True
Windows_Forms	True
Wolfram_Language	True
Wolfram_Mathematica	True
XBase	True
XPL	True
XSB	True
Xojo	True
YAML	True
ZPL_(programming_language)	True
Z_notation	True
Zig_(programming_language)	True
Zonnon	True
tp://erights.org/history/original-e/index.html	True
tps://foldoc.org/Lean	True
tps://github.com/proebsting/goaldi	True
tps://shakti.com/	True
Ωmega	True
ALF_(proof_assistant)	False
ALGOL_Y	False
ANSI_C	False
ARITH-MATIC	False
Actor_model	False
Actor_model_middle_history#Actor_programming_languages	False
Agora_(programming_language)	False
Albatross_(programming_language)	False
Alphard_(programming_language)	False
Argus_(programming_language)	False
AtScript	False
BBN_LISP	False
Boxer_(programming_environment)	False
C++11	False
C++14	False
C++17	False
C++20	False
C99	False
CAL_(programming_language)	False
CMS_EXEC	False
CS-1_(programming_language)	False
Cat_(programming_language)	False
Category:C_programming_language_family	False
Cayenne_(programming_language)	False
CobolScript	False
Common_Lisp_Object_System	False
Communicating_Sequential_Processes	False
Communicating_sequential_processes	False
Concepts_(C++)	False
Contextual_Query_Language	False
Cray_MTA	False
Dataparallel-C	False
Delphi_(Programming_Language)	False
Dependent_ML	False
Drago_(programming_language)	False
EISPACK	False
EXEC_2	False
GRASS_(programming_language)	False
GameMonkey_Script	False
Generic_Java	False
Generics_in_Java	False
Gofer_(programming_language)	False
High_Performance_Fortran	False
Hope_(programming_language)	False
IBM_PL/S	False
Id_(programming_language)	False
Interpress	False
Ioke_(programming_language)	False
Job_Control_Language	False
Join_calculus	False
Joins_(concurrency_library)	False
KL0	False
KL1	False
Laning_and_Zierler_system	False
Lingo_(programming_language)	False
List_of_BASIC_dialects	False
List_of_object-oriented_programming_languages	False
Logic_Programming#Concurrent_logic_programming	False
Lustre_(programming_language)	False
Machine_code	False
Maker_culture	False
Mathematical_notation	False
Moose_(Perl)	False
Natural_language_programming	False
OPS5	False
ObjVlisp	False
Objective-J	False
OpenVera	False
PACT_I	False
PL-6	False
PL/0	False
PL/8	False
PL/SQL	False
POP-11	False
POP-2	False
PSB-Prolog	False
Pike_(programming_language)	False
Polymorphic_Programming_Language	False
Pony_(programming_language)	False
Reverse_Polish_Notation	False
SB-Prolog	False
SETLX	False
SYMPL	False
Scheme_(programming_language)	False
ScratchJr	False
Simple_theory_of_types	False
Simscript	False
Steelman_language_requirements	False
Strand_(programming_language)	False
Structured_text	False
SuperTalk	False
Symbolic_Manipulation_Program	False
TOM_(object-oriented_programming_language)	False
Trith_(programming_language)	False
UNICODE_(programming_language)	False
Unix_shell	False
Visual_Basic	False
Visual_J++	False
Wikipedia:Citation_needed	False
XBase	False
XPL	False
Z_notation	False
tp://erights.org/history/original-e/index.html	False
tps://foldoc.org/Lean	False
tps://github.com/proebsting/goaldi	False
tps://shakti.com/	False
